rank,candidate_id,score,matched_skill_count,github_activity_score,recruiter_response_rate,semantic,kw_hits,avg_tenure
58,CAND_0095528,0.50909,9,-1.0,0.55,0.3189,14,31.5
59,CAND_0042506,0.50894,10,64.0,0.48,0.3893,17,25.0
60,CAND_0050454,0.50867,7,-1.0,0.77,0.3658,16,26.2
61,CAND_0061655,0.50803,7,56.5,0.88,0.317,12,27.0
62,CAND_0078002,0.50749,5,50.6,0.86,0.3332,13,27.6
63,CAND_0075574,0.50685,8,37.7,0.58,0.324,17,25.6
64,CAND_0087630,0.50605,10,23.2,0.45,0.3044,14,25.4
65,CAND_0053695,0.50595,6,67.6,0.6,0.3168,18,24.4
66,CAND_0074735,0.50568,8,87.7,0.77,0.3301,13,21.6
67,CAND_0051630,0.50466,9,66.4,0.51,0.3145,15,35.5
68,CAND_0027691,0.50293,7,58.5,0.68,0.2812,18,27.2
69,CAND_0018549,0.50237,6,56.3,0.73,0.3129,14,40.5
70,CAND_0026532,0.50214,10,32.5,0.52,0.336,18,28.0
71,CAND_0064270,0.50132,8,-1.0,0.82,0.3719,19,25.0
72,CAND_0050876,0.5013,7,86.1,0.67,0.3167,13,26.6
73,CAND_0096172,0.50128,8,65.0,0.47,0.3555,17,30.5
74,CAND_0064904,0.50114,7,59.0,0.78,0.313,14,29.0
75,CAND_0002793,0.49953,6,82.3,0.77,0.3086,9,32.5
76,CAND_0006557,0.49839,11,-1.0,0.63,0.3381,17,47.0
77,CAND_0018722,0.49763,3,94.3,0.79,0.3727,15,27.2
78,CAND_0043228,0.49603,8,47.6,0.41,0.3186,16,29.8
79,CAND_0014063,0.49601,6,81.6,0.69,0.3064,12,32.0
80,CAND_0036437,0.49515,8,35.2,0.87,0.3403,14,18.6
81,CAND_0009024,0.49506,6,32.7,0.46,0.3317,14,30.5
82,CAND_0060054,0.49321,4,-1.0,0.86,0.37,17,26.2
83,CAND_0057563,0.49223,5,22.8,0.83,0.3412,15,26.8
84,CAND_0068932,0.49211,4,70.5,0.82,0.3079,10,30.5
85,CAND_0096142,0.49178,7,80.5,0.84,0.3302,15,30.0
86,CAND_0011432,0.49141,6,20.0,0.67,0.3266,16,30.8
87,CAND_0069905,0.4904,6,44.8,0.78,0.3744,20,23.4
88,CAND_0067643,0.4895,7,73.3,0.49,0.3155,13,24.4
89,CAND_0073007,0.48839,4,66.5,0.83,0.3205,10,34.5
90,CAND_0070202,0.48808,9,-1.0,0.6,0.3304,14,30.5
91,CAND_0015528,0.48802,7,50.6,0.53,0.3105,12,31.8
92,CAND_0020350,0.48596,10,-1.0,0.58,0.287,13,34.5
93,CAND_0098846,0.48504,5,86.2,0.62,0.3461,14,22.5
94,CAND_0020708,0.48493,7,84.3,0.84,0.365,15,50.0
95,CAND_0043676,0.48485,4,84.7,0.65,0.3049,12,26.0
96,CAND_0079284,0.4847,5,-1.0,0.79,0.3294,15,29.0
97,CAND_0098454,0.48432,7,28.7,0.87,0.303,11,39.0
98,CAND_0079064,0.48419,6,26.8,0.91,0.3585,18,31.0
99,CAND_0030953,0.4841,7,21.0,0.63,0.3576,22,19.7
100,CAND_0089552,0.48405,9,38.4,0.49,0.3321,19,35.5
